,Company Name,Status Rocket,Cost in Millions of Dollars,Status Mission,Country of Launch,Companys Country of Origin,Private or State Run,Year,Month,Day,Date,Launch in Country of Company
325,Roscosmos,StatusActive,48.5 ,Success,Kazakhstan,Russia,S,2016,3,31,31/03/2016,False
326,CASIC,StatusActive,69.7 ,Success,China,China,S,2016,3,29,29/03/2016,True
327,VKS RF,StatusActive,48.5 ,Success,Russia,Russia,S,2016,3,24,24/03/2016,True
328,ULA,StatusActive,109.0 ,Success,USA,USA,P,2016,3,23,23/03/2016,True
329,Roscosmos,StatusActive,65.0 ,Success,Kazakhstan,Russia,S,2016,3,14,14/03/2016,False
330,Roscosmos,StatusActive,35.0 ,Success,Kazakhstan,Russia,S,2016,3,13,13/03/2016,False
331,ISRO,StatusActive,31.0 ,Success,India,India,S,2016,3,10,10/03/2016,True
332,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2016,3,9,09/03/2016,False
333,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2016,3,4,04/03/2016,True
334,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2016,2,17,17/02/2016,True
