,Company Name,Status Rocket,Cost in Millions of Dollars,Status Mission,Country of Launch,Companys Country of Origin,Private or State Run,Year,Month,Day,Date,Launch in Country of Company
99,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2019,6,12,12/06/2019,True
100,CASIC,StatusActive,5.3 ,Success,China,China,S,2019,6,5,05/06/2019,True
101,Roscosmos,StatusActive,65.0 ,Success,Kazakhstan,Russia,S,2019,5,30,30/05/2019,False
102,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2019,5,24,24/05/2019,True
103,CASIC,StatusActive,64.68 ,Failure,China,China,S,2019,5,22,22/05/2019,True
104,ISRO,StatusActive,21.0 ,Success,India,India,S,2019,5,22,22/05/2019,True
105,Rocket Lab,StatusActive,7.5 ,Success,New Zealand,USA,P,2019,5,5,05/05/2019,False
106,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2019,5,4,04/05/2019,True
107,CASIC,StatusActive,64.68 ,Success,China,China,S,2019,4,29,29/04/2019,True
108,CASIC,StatusActive,29.15 ,Success,China,China,S,2019,4,20,20/04/2019,True
109,Northrop,StatusRetired,85.0 ,Success,USA,USA,P,2019,4,17,17/04/2019,True
110,SpaceX,StatusActive,90.0 ,Success,USA,USA,P,2019,4,11,11/04/2019,True
111,Roscosmos,StatusActive,48.5 ,Success,Kazakhstan,Russia,S,2019,4,4,04/04/2019,False
112,ISRO,StatusActive,21.0 ,Success,India,India,S,2019,4,1,01/04/2019,True
113,CASIC,StatusActive,29.15 ,Success,China,China,S,2019,3,31,31/03/2019,True
114,Rocket Lab,StatusActive,7.5 ,Success,New Zealand,USA,P,2019,3,28,28/03/2019,False
115,Arianespace,StatusActive,37.0 ,Success,France,Multi,P,2019,3,22,22/03/2019,False
116,CASIC,StatusActive,29.15 ,Success,China,China,S,2019,3,9,09/03/2019,True
117,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2019,3,2,02/03/2019,True
118,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2019,2,22,22/02/2019,True
119,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2019,2,5,05/02/2019,False
120,CASIC,StatusActive,5.3 ,Success,China,China,S,2019,1,21,21/01/2019,True
121,ULA,StatusActive,350.0 ,Success,USA,USA,P,2019,1,19,19/01/2019,True
122,JAXA,StatusActive,39.0 ,Success,Japan,Japan,S,2019,1,18,18/01/2019,True
123,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2019,1,11,11/01/2019,True
124,CASIC,StatusActive,29.15 ,Success,China,China,S,2019,1,10,10/01/2019,True
125,Roscosmos,StatusActive,48.5 ,Success,Russia,Russia,S,2018,12,27,27/12/2018,True
126,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2018,12,23,23/12/2018,True
127,CASIC,StatusActive,5.3 ,Success,China,China,S,2018,12,21,21/12/2018,True
128,VKS RF,StatusActive,65.0 ,Success,Kazakhstan,Russia,S,2018,12,21,21/12/2018,False
129,ISRO,StatusActive,47.0 ,Success,India,India,S,2018,12,19,19/12/2018,True
130,Rocket Lab,StatusActive,7.5 ,Success,New Zealand,USA,P,2018,12,16,16/12/2018,False
131,CASIC,StatusActive,29.15 ,Success,China,China,S,2018,12,7,07/12/2018,True
132,CASIC,StatusActive,29.75 ,Success,China,China,S,2018,12,7,07/12/2018,True
133,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2018,12,5,05/12/2018,True
134,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2018,12,4,04/12/2018,False
135,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2018,12,3,03/12/2018,True
136,VKS RF,StatusRetired,41.8 ,Success,Russia,Russia,S,2018,11,30,30/11/2018,True
137,ISRO,StatusActive,21.0 ,Success,India,India,S,2018,11,29,29/11/2018,True
138,Arianespace,StatusActive,37.0 ,Success,France,Multi,P,2018,11,21,21/11/2018,False
139,CASIC,StatusActive,29.75 ,Success,China,China,S,2018,11,19,19/11/2018,True
140,Northrop,StatusRetired,85.0 ,Success,USA,USA,P,2018,11,17,17/11/2018,True
141,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2018,11,15,15/11/2018,True
142,ISRO,StatusActive,62.0 ,Success,India,India,S,2018,11,14,14/11/2018,True
143,Rocket Lab,StatusActive,7.5 ,Success,New Zealand,USA,P,2018,11,11,11/11/2018,False
144,VKS RF,StatusActive,48.5 ,Success,Russia,Russia,S,2018,11,3,03/11/2018,True
145,CASIC,StatusActive,29.15 ,Success,China,China,S,2018,11,1,01/11/2018,True
146,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2018,10,29,29/10/2018,True
147,CASIC,StatusActive,30.8 ,Success,China,China,S,2018,10,29,29/10/2018,True
148,Roscosmos,StatusActive,35.0 ,Success,Russia,Russia,S,2018,10,25,25/10/2018,True
149,CASIC,StatusActive,64.68 ,Success,China,China,S,2018,10,24,24/10/2018,True
150,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2018,10,20,20/10/2018,False
151,ULA,StatusActive,153.0 ,Success,USA,USA,P,2018,10,17,17/10/2018,True
152,CASIC,StatusActive,30.8 ,Success,China,China,S,2018,10,9,09/10/2018,True
153,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2018,10,8,08/10/2018,True
154,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2018,9,25,25/09/2018,False
155,MHI,StatusRetired,112.5 ,Success,Japan,Japan,P,2018,9,22,22/09/2018,True
156,ISRO,StatusActive,21.0 ,Success,India,India,S,2018,9,16,16/09/2018,True
157,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2018,9,10,10/09/2018,True
158,CASIC,StatusActive,30.8 ,Success,China,China,S,2018,9,7,07/09/2018,True
159,Arianespace,StatusActive,37.0 ,Success,France,Multi,P,2018,8,22,22/08/2018,False
160,ULA,StatusActive,350.0 ,Success,USA,USA,P,2018,8,12,12/08/2018,True
161,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2018,8,7,07/08/2018,True
162,CASIC,StatusActive,64.68 ,Success,China,China,S,2018,7,31,31/07/2018,True
163,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2018,7,25,25/07/2018,True
164,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2018,7,22,22/07/2018,True
165,Roscosmos,StatusActive,48.5 ,Success,Kazakhstan,Russia,S,2018,7,9,09/07/2018,False
166,CASIC,StatusActive,69.7 ,Success,China,China,S,2018,7,9,09/07/2018,True
167,CASIC,StatusActive,30.8 ,Success,China,China,S,2018,7,9,09/07/2018,True
168,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2018,6,29,29/06/2018,True
169,CASIC,StatusActive,30.8 ,Success,China,China,S,2018,6,27,27/06/2018,True
170,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2018,6,12,12/06/2018,True
171,CASIC,StatusActive,69.7 ,Success,China,China,S,2018,6,5,05/06/2018,True
172,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2018,6,4,04/06/2018,True
173,CASIC,StatusActive,29.75 ,Success,China,China,S,2018,6,2,02/06/2018,True
174,SpaceX,StatusRetired,62.0 ,Success,USA,USA,P,2018,5,22,22/05/2018,True
175,Northrop,StatusRetired,85.0 ,Success,USA,USA,P,2018,5,21,21/05/2018,True
176,CASIC,StatusActive,64.68 ,Success,China,China,S,2018,5,20,20/05/2018,True
177,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2018,5,11,11/05/2018,True
178,CASIC,StatusActive,64.68 ,Success,China,China,S,2018,5,8,08/05/2018,True
179,ULA,StatusActive,109.0 ,Success,USA,USA,P,2018,5,5,05/05/2018,True
180,CASIC,StatusActive,29.15 ,Success,China,China,S,2018,5,3,03/05/2018,True
